"filename", "language", "YAML", "Docker", "JSON", "JavaScript", "Markdown", "Shell Script", "MS SQL", "Terraform", "HCL", "Properties", "comment", "blank", "total"
"/home/nitroarch/kood/code-keeper/repos/manifests/autoscale/autoscale.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 145
"/home/nitroarch/kood/code-keeper/repos/manifests/billing/billing-db.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/home/nitroarch/kood/code-keeper/repos/manifests/billing/billing.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/home/nitroarch/kood/code-keeper/repos/manifests/gateway/gateway.yaml", "YAML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/home/nitroarch/kood/code-keeper/repos/manifests/inventory/inventory-db.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/home/nitroarch/kood/code-keeper/repos/manifests/inventory/inventory.yaml", "YAML", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"/home/nitroarch/kood/code-keeper/repos/manifests/pv/pv-billing.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/nitroarch/kood/code-keeper/repos/manifests/pv/pv-inventory.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/nitroarch/kood/code-keeper/repos/manifests/rabbitmq/rabbitmq.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/autoscale/autoscale.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 145
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/billing/billing-db.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/billing/billing.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/gateway/gateway.yaml", "YAML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/inventory/inventory-db.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
